"门店名称","款式","商品性质","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)","Sum(前7天销售)","Sum(前6天销售)"
" -> 嘉定店","","","52","77","","","56","49","","","49","37","","","22","20","3","3","","","2","-1","21","26","","","","","19","15","","","","","","","","4","6","7"
" -> 嘉定店 -> 中袖短板T恤","中袖短板T恤","","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 中袖短板T恤 -> 停止进货","中袖短板T恤","停止进货","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 中袖短板T恤 -> 正常补货","","正常补货","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> [未知]","[未知]","","10","12","","","13","9","","","10","2","","","9","12","","","","","","","","12","","","","","3","2","","","","","","","","","2","4"
" -> 嘉定店 -> [未知] -> 停止进货","[未知]","停止进货","5","7","","","7","6","","","10","2","","","9","7","","","","","","","","5","","","","","3","2","","","","","","","","","2","4"
" -> 嘉定店 -> [未知] -> 新款试货","","新款试货","","","","","2","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> [未知] -> 正常补货","","正常补货","5","5","","","4","3","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 长裤","长裤","","","","","","37","34","","","","","","","","","","","","","","","17","14","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 长裤 -> 停止进货","长裤","停止进货","","","","","34","35","","","","","","","","","","","","","","","12","11","","","","","","","","","","","","","","","",""
" -> 嘉定店 -> 长裤 -> 正常补货","","正常补货","","","","","","","","","","","","","","","","","","","","","4","2","","","","","","","","","","","","","","","",""
