商品编码,SKU,颜色,尺码,库存数量,吊牌价格,零售价格
18C5057,18C50571105,粉红色,M,1,79.00,10.00
18C5057,18C50571107,粉红色,XL,1,79.00,10.00
18S1002,18S10029000,杂色1,M（均）,14,10.00,10.00
18S1004,18S10049000,杂色1,M（均）,15,10.00,10.00
18S1005,18S10059000,杂色1,M（均）,10,10.00,10.00
18S1009,18S10099005,杂色1,M,14,10.00,10.00
18S5003,18S50039000,杂色1,M（均）,15,10.00,10.00
18S5004,18S50049000,杂色1,M（均）,1,10.00,10.00
18S5006,18S50069000,杂色1,M（均）,15,10.00,10.00
18S5012,18S50129005,杂色1,M,12,10.00,10.00
7S5141,7S51419000,杂色1,M（均）,1,10.00,10.00
8K5006,8K50060904,黑色,S,9,29.00,10.00
8K5006,8K50060905,黑色,M,10,29.00,10.00
8K5006,8K50060906,黑色,L,3,29.00,10.00
8K5006,8K50060907,黑色,XL,1,29.00,10.00
8S1000,8S10009000,杂色1,M（均）,14,10.00,10.00
8S1005,8S10059000,杂色1,M（均）,6,10.00,10.00
8T5107,8T51079105,杂色2,M,1,19.00,10.00
8T5107,8T51079106,杂色2,L,2,19.00,10.00
8T5107,8T51079107,杂色2,XL,2,19.00,10.00
18K5076,18K50761107,粉红色,XL,2,19.00,19.00
18K5076,18K50761108,粉红色,2XL,5,19.00,19.00
18K5076,18K50765108,粉绿色,2XL,2,19.00,19.00
18T5033,18T50330105,白色,M,7,19.00,19.00
18T5033,18T50330106,白色,L,9,19.00,19.00
18T5033,18T50330107,白色,XL,8,19.00,19.00
18T5033,18T50330108,白色,2XL,2,19.00,19.00
18T5033,18T50334305,蛋黄,M,7,19.00,19.00
18T5033,18T50334306,蛋黄,L,10,19.00,19.00
18T5033,18T50334307,蛋黄,XL,7,19.00,19.00
18T5033,18T50334308,蛋黄,2XL,3,19.00,19.00
18T5033,18T50336105,粉蓝色,M,6,19.00,19.00
18T5033,18T50336106,粉蓝色,L,8,19.00,19.00
18T5033,18T50336107,粉蓝色,XL,5,19.00,19.00
18T5033,18T50336108,粉蓝色,2XL,1,19.00,19.00
18C1007,18C10076604,牛仔蓝,S,-6,99.00,29.00
18C1007,18C10076606,牛仔蓝,L,-4,99.00,29.00
18C1007,18C10076607,牛仔蓝,XL,10,99.00,29.00
18K5044,18K50440904,黑色,S,14,29.00,29.00
18K5044,18K50440905,黑色,M,13,29.00,29.00
18K5044,18K50440906,黑色,L,14,29.00,29.00
18K5044,18K50440907,黑色,XL,14,29.00,29.00
18K5044,18K50441104,粉红色,S,8,29.00,29.00
18K5044,18K50441105,粉红色,M,8,29.00,29.00
18K5044,18K50441106,粉红色,L,6,29.00,29.00
18K5044,18K50441107,粉红色,XL,8,29.00,29.00
18K5044,18K50442104,杏色,S,6,29.00,29.00
18K5044,18K50442105,杏色,M,7,29.00,29.00
18K5044,18K50442106,杏色,L,8,29.00,29.00
18K5044,18K50442107,杏色,XL,8,29.00,29.00
18N5033,18N50336627,牛仔蓝,27,-1,99.00,29.00
18N5033,18N50336628,牛仔蓝,28,1,99.00,29.00
18Q5025,18Q50250905,黑色,M,7,79.00,29.00
